Name,Tag
ICICI Prudential Nifty ETF,ICNI
Electrosteel Castings Ltd,ELST
Jayaswal Neco Industries Ltd,JAYN
VST Tillers Tractors Ltd,VST
Jain Irrigation Systems Ltd,JAIR
Meghmani Organics Ltd,MOM
ISMT Ltd,ISMT
Kovai Medical Center and Hospital Ltd,KOV
Saksoft Ltd,SAKS
DB Corp Ltd,DBCL
Lumax AutoTechnologies Ltd,LUAT
Magellanic Cloud Ltd,MCLO
TVS Srichakra Ltd,TVSC
Dhani Services Ltd,INDB
Emudhra Ltd,EMU
Sg Finserve Ltd,MOO
Accelya Solutions India Ltd,ACCY
Eveready Industries India Ltd,ERDY
MSTC Ltd,MSTC
Jain Irrigation Systems Ltd,JAIRdv
Sharda Motor Industries Ltd,SHAD
J Kumar Infraprojects Ltd,JKIP
Thirumalai Chemicals Ltd,THRM
Vindhya Telelinks Ltd,VNDY
HIL Ltd,HLLT
Swaraj Engines Ltd,SWAR
MM Forgings Ltd,MMFO
Paras Defence and Space Technologies Ltd,PARAS
Kingfa Science and Technology (India) Ltd,KINA
Lloyds Steels Industries Ltd,LSIL
Divgi TorqTransfer Systems Ltd,DIVG
Gulf Oil Lubricants India Ltd,GOLU
Hindustan Oil Exploration Company Ltd,HOEX
ITD Cementation India Ltd,ITCM
Balmer Lawrie and Company Ltd,BLMR
Brightcom Group Ltd,BRIH
Subros Ltd,SUBR
Agro Tech Foods Ltd,AGRO
Kotak Gold Etf,KTGF
Dynamatic Technologies Ltd,DYNM
Dollar Industries Ltd,DLLA
Butterfly Gandhimathi Appliances Ltd,BUTT
Welspun Enterprises Ltd,WELS
Tips Industries Ltd,TIPS
Stylam Industries Ltd,STY
Kesoram Industries Ltd,KSRM
Pilani Investment And Industries Corporation Ltd,PILN
Time Technoplast Ltd,TIME
CARE Ratings Ltd,CREI
Kolte-Patil Developers Ltd,KOLT
Lumax Industries Ltd,LUMA
Rupa & Company Ltd,RUCL
Gufic Biosciences Ltd,GUFI
Virescent Renewable Energy Trust,VIRE
Savita Oil Technologies Ltd,SAOL
HDFC Gold Exchange Traded Fund,HDGO
ICICI Prudential Gold ETF,IPEG
Nippon India ETF Junior BeES,JBES
Vidhi Specialty Food Ingredients Ltd,VIDH
Cartrade Tech Ltd,CART
Sundaram Finance Holdings Ltd,SNDA
Spicejet Ltd,SPJT
Primo Chemicals Ltd,PUNAL
Mukand Ltd,MUKA
Bajaj Hindusthan Sugar Ltd,BJHN
Ashiana Housing Ltd,AHFN
Waaree Renewable Technologies Ltd,SAR
Datamatics Global Services Ltd,DATC
Jyoti Resins and Adhesives Ltd,JYOTI
Jaiprakash Associates Ltd,JAIA
KPI Global Infrastructure Ltd,KPI
Bombay Dyeing and Mfg Co Ltd,BDYN
SeQuent Scientific Ltd,SEQU
Federal-Mogul Goetze (India) Ltd,FEDM
Wendt (India) Limited,WNDT
Banco Products (India) Ltd,BNCO
Puravankara Ltd,PURA
DCX Systems Ltd,DCX
TTK Healthcare Ltd,TTKH
Subex Ltd,SUBX
Venus Pipes & Tubes Ltd,VENUS
Andhra Paper Ltd,ANDA
IIFL Securities Ltd,IIFS
Panama Petrochem Ltd,PAPT
Seshasayee Paper and Boards Ltd,SSHA
Vakrangee Ltd,VAKR
Aptech Ltd,APTA
Prataap Snacks Ltd,PRAT
Amrutanjan Health Care Ltd,AJAN
Imagicaaworld Entertainment Ltd,IMAW
Fino Payments Bank Ltd,FINOP
Supriya Lifescience Ltd,SUPRI
Dwarikesh Sugar Industries Ltd,DWAR
IndoStar Capital Finance Ltd,INAC
Confidence Petroleum India Ltd,CONF
GNA Axles Ltd,GNAA
Texmaco Rail & Engineering Ltd,TEXA
Greenply Industries Ltd,GRPL
Yasho Industries Ltd,YASH
Aditya Vision Ltd,AVL
India Glycols Ltd,IGLY
Vishnu Chemicals Ltd,VICH
Force Motors Ltd,FORC
Sanghvi Movers Ltd,SNGM
Huhtamaki India Ltd,HUHT
Steel Exchange India Ltd,STEI
Filatex India Ltd,FLTX
Kabra Extrusion Technik Ltd,KBRE
NACL Industries Ltd,NACL
Tamilnadu Newsprint & Papers Ltd,TNNP
Bhansali Engg Polymers Ltd,BHAN
RattanIndia Power Ltd,RTNP
Orissa Minerals Development Company Ltd,ORIS
Fairchem Organics Ltd,FAI
Sirca Paints India Ltd,SICR
Sanghi Industries Ltd,SNGI
Seamec Ltd,SEAM
Oriental Hotels Ltd,ORHT
ADF Foods Ltd,AMRN
Dhampur Sugar Mills Ltd,DAMS
Cosmo Films Ltd,CSFL
Orchid Pharma Ltd,ORCD
Cantabil Retail India Ltd,CRIL
Krsnaa Diagnostics Ltd,KRS
Axita Cotton Ltd,AXI
Nucleus Software Exports Ltd,NSEL
Carysil Ltd,ACR
Jagran Prakashan Ltd,JAGP
Tanfac Industries Ltd,TAMF
Gokul Agro Resources Ltd,GOKG
Alembic Ltd,ALMC
Andhra Sugars Ltd,ANDS
Bharat Bijlee Ltd,BBJL
Goldiam International Ltd,GOLI
GOCL Corp Ltd,GOCL
S H Kelkar and Company Ltd,SHKE
JSW Ispat Special Products Ltd,MNET
Gati Ltd,GATI
Heritage Foods Ltd,HEFI
Indian Metals and Ferro Alloys Ltd,IMFA
Shalby Ltd,SHAY
Kiri Industries Ltd,KIRI
Hester Biosciences Ltd,HEST
BF Investment Ltd,BFIN
Foseco India Ltd,FSCO
Thejo Engineering Ltd,THEJ
Patel Engineering Ltd,PENG
Kotak Nifty ETF,KOTK
Sterling Tools Ltd,STTL
Vardhman Special Steels Ltd,VARM
I G Petrochemicals Ltd,IGPT
MPS Ltd,MPSL
Shankara Building Products Ltd,SHAB
SEPC Ltd,SHRI
Tarc Ltd,TART
Rama Steel Tubes Ltd,RAMA
Gallantt Metal Ltd,GALM
Hariom Pipe Industries Ltd,HARIO
Nelco Ltd,NELC
Bhagiradha Chemicals and Industries Ltd,BHAG
DEN Networks Ltd,DENN
NRB Bearings Ltd,NBEA
Monte Carlo Fashions Ltd,MOCF
Ador Welding Ltd,ADOR
Novartis India Ltd,NOVAR
Tide Water Oil Co India Ltd,TIDE
Optiemus Infracom Ltd,OPTI
Heranba Industries Ltd,HER
Themis Medicare Ltd,THEM
Marathon Nextgen Realty Ltd,MANE
EIH Associated Hotels Ltd,EIHA
Insecticides (India) Ltd,ISIL
Polo Queen Industrial and Fintech Ltd,PQI
Thanga Mayil Jewellery Ltd,THNG
Timex Group India Ltd,TIM
Morepen Laboratories Ltd,MORL
Kalyani Steels Ltd,KLSL
Arvind Smartspaces Ltd,ARVD
Krishana Phoschem Ltd,KRPH
Gensol Engineering Ltd,GEN
Styrenix Performance Materials Ltd,INEO
Xpro India Ltd,XPRO
Everest Industries Ltd,EVRI
Nitin Spinners Ltd,NISP
Southern Petrochemical Industries Corporation Ltd,SPIC
SML Isuzu Ltd,SMLI
TAJ GVK Hotels and Resorts Ltd,TAJG
KDDL Ltd,KDDL
Media Matrix Worldwide Ltd,MMW
SJS Enterprises Ltd,SJS
Gujarat Industries Power Company Ltd,GJIP
TCPL Packaging Ltd,TCPL
Oriental Aromatics Ltd,OIEN
Vadilal Industries Ltd,VDLI
Expleo Solutions Ltd,EXPL
RPG Life Sciences Ltd,RPGL
DCW Ltd,DCWL
Valiant Organics Ltd,VALI
KCP Ltd,KCP
SOM Distilleries and Breweries Ltd,SDB
Precision Wires India Ltd,PRWR
Wardwizard Innovations & Mobility Ltd,WAR
Universal Cables Ltd,UNVR
Gulshan Polyols Ltd,GULS
Sanmit Infra Ltd,SANI
Rane Holdings Ltd,RANE
Manorama Industries Ltd,MANO
Sasken Technologies Ltd,SKCT
Ugro Capital Ltd,UGR
Precision Camshafts Ltd,PRCM
Stove Kraft Ltd,STOVE
Kuantum Papers Ltd,KAUN
AVT Natural Products Ltd,AVTN
Solara Active Pharma Sciences Ltd,SOLA
Salasar Techno Engineering Ltd,SALA
Ashapura Minechem Ltd,ASHM
Sandhar Technologies Ltd,SNTL
Alicon Castalloy Ltd,ALIO
Mold-Tek Packaging Ltd,MOL
BF Utilities Ltd,BFUT
Garware Hi-Tech Films Ltd,GARWR
Reliance Industrial Infrastructure Ltd,REII
Abans Holdings Ltd,AHL
Goodluck India Ltd,GLST
Satia Industries Ltd,SATD
Manali Petrochemicals Ltd,MNLI
Satin Creditcare Network Ltd,SATR
Wheels India Ltd,WHEL
Inox Green Energy Services Ltd,INOX
Suven Life Sciences Ltd,SUVP
Arman Financial Services Ltd,ARLF
Ugar Sugar Works Ltd,UGSW
Mahanagar Telephone Nigam Ltd,MTNL
TGV SRAAC Ltd,SREER
Inox Wind Energy Ltd,IWE
Sangam (India) Ltd,SANG
EKI Energy Services Ltd,EKI
Indo Rama Synthetics (India) Ltd,IRSY
Repco Home Finance Ltd,RHFL
Knowledge Marine & Engineering Works Ltd,KME
GRM Overseas Ltd,GRM
PC Jeweller Ltd,PCJE
GTPL Hathway Ltd,GTPH
Matrimony.Com Ltd,MATI
New Delhi Television Ltd,NDTV
Skipper Ltd,SKIP
GMR Power and Urban Infra Ltd,GMR
Shanti Educational Initiatives Ltd,SEI
Madras Fertilizers Ltd,MDFT
Axiscades Technologies Ltd,AXIT
DISA India Ltd,GEO
TV Today Network Ltd,TVTO
Dhampur Bio Organics Ltd,DBO
Veranda Learning Solutions Pvt Ltd,VERAN
Igarashi Motors India Ltd,IGAM
RPSG Ventures Ltd,CESV
Ritesh Properties and Industries Ltd,RPI
Jash Engineering Ltd,JSHE
Likhitha Infrastructure Ltd,LIKH
Bharat Wire Ropes Ltd,BHWR
Infobeans Technologies Ltd,IFOB
Ramco Industries Ltd,RAMC
Finkurve Financial Services Ltd,FINK
Speciality Restaurants Ltd,SPRE
Genesys International Corporation Ltd,GENS
Shriram Properties Ltd,SHRIR
Shivalik Rasayan Ltd,SHIVL
Asian Star Co Ltd,AST
Excel Industries Ltd,EXCI
Ganesh Benzoplast Ltd,GANES
Anup Engineering Ltd,ANUE
Nalwa Sons Investments Ltd,NALS
Deep Industries Ltd,DEEPI
Artemis Medicare Services Ltd,ATEM
Gujarat Themis Biosyn Ltd,GUJTH
Everest Kanto Cylinder Ltd,EKCL
Pokarna Ltd,POKR
PIX Transmissions Ltd,PIX
Suryoday Small Finance Bank Ltd,SURYO
Kitex Garments Ltd,KITE
Mangalore Chemicals and Fertilisers Ltd,MNGL
Shalimar Paints Ltd,SHLP
Andrew Yule & Co Ltd,ANDR
Elpro International Ltd,ELP
Uttam Sugar Mills Ltd,UTSM
Geojit Financial Services Ltd,GEOJ
Pnb Gilts Ltd,PNBG
Raghav Productivity Enhancers Ltd,RPE
Shree Digvijay Cement Co Ltd,SRDC
Ajmera Realty & Infra India Ltd,AJME
Shree Global Tradefin Ltd,SHRG
Welspun Specialty Solutions Ltd,REMI
Moschip Technologies Ltd,MOS
G M Breweries Ltd,GMBR
BCL Industries Ltd,BCLI
Uniphos Enterprises Ltd,UNPH
Steel Cast Ltd,STEE
Nahar Spinning Mills Ltd,NHRS
Radiant Cash Management Services Ltd,RADIA
RACL Geartech Ltd,RACL
Parag Milk Foods Ltd,PAMF
GTL Infrastructure Ltd,GTLI
Avadh Sugar & Energy Ltd,AVAD
Shaily Engineering Plastics Ltd,SHAIL
ULTRAMARINE & PIGMENTS Ltd,ULTR
Jaybharat Textiles and Real Estate Ltd,JAYT
Transpek Industry Ltd,TRANP
Hi-Tech Pipes Ltd,HITC
KMC Speciality Hospitals India Ltd,KMC
India Power Corporation Ltd,DPSC
M K Proteins Ltd,MKPR
Pitti Engineering Ltd,PITE
Rajnish Wellness Ltd,RAJ
Ddev Plastiks Industries Ltd,DDE
Chaman Lal Setia Exports Ltd,CHAMA
Roto Pumps Ltd,ROT
Punjab Chemicals and Crop Protection Ltd,PCHM
Rico Auto Industries Ltd,RAUT
Centum Electronics Ltd,CENT
Omaxe Ltd,OMAX
Rossell India Ltd,ROSS
Mirza International Ltd,MIRZ
Praveg Ltd,PRAV
Focus Lighting and Fixtures Ltd,FOCS
Chemcon Speciality Chemicals Ltd,CHEMC
Pearl Global Industries Ltd,PGIL
Prakash Industries Ltd,PRKI
Global Surfaces Ltd,GSLSU
Ester Industries Ltd,ESTR
Vinyl Chemicals India Ltd,VNYL
Control Print Ltd,CONP
S. P. Apparels Ltd,SPAP
Hardwyn India Ltd,HAR
Pennar Industries Ltd,PENN
Cressanda Solutions Ltd,CRES
Linc Ltd,LINC
Shiva Cement Ltd,SHIVC
Bigbloc Construction Ltd,BIGB
Agarwal Industrial Corporation Ltd,AGWL
D Link (India) Limited,DLIL
Orient Paper and Industries Ltd,ORPP
PTC India Financial Services Ltd,PTCN
Transformers and Rectifiers (India) Ltd,TRNF
Kamdhenu Ltd,KAMI
Lancer Container Lines Ltd,LAN
Dolat Algotech Ltd,DOLA
5Paisa Capital Ltd,PAIS
Ge Power India Ltd,GEPO
Spacenet Enterprises India Ltd,SACE
Dredging Corporation of India Ltd,DRDG
Rhetan TMT Ltd,RHE
Ngl Fine Chem Ltd,NGL
Medicamen Biotech Ltd,MEDI
Jagsonpal Pharmaceuticals Ltd,JGSN
B L Kashyap and Sons Ltd,BLKS
India Motor Parts & Accessories Ltd,IMPA
Nelcast Ltd,NLCA
Sportking India Ltd,SPO
Atul Auto Ltd,ATUL
Royal Orchid Hotels Ltd,ROYL
Permanent Magnets Ltd,PERM
Capacite Infraprojects Ltd,CAPE
Jindal Drilling and Industries Ltd,JNDR
GIC Housing Finance Ltd,GICH
Bajaj Healthcare Ltd,BAJ
Century Enka Ltd,CNTE
HDFC Nifty 50 ETF,HDFN
Udaipur Cement Works Ltd,JKU
Bodal Chemicals Ltd,BODA
Ambika Cotton Mills Ltd,AMBK
Enkei Wheels (India) Ltd,ENK
Ncl Industries Ltd,NCLI
RSWM Ltd,RSWM
IFGL Refractories Ltd,IFGL
Vimta Labs Ltd,VIML
Vardhman Holdings Ltd,VRDM
Arihant Superstructures Ltd,ARIS
Ram Ratna Wires Ltd,RAMR
Shankar Lal Rampal Dye-Chem Ltd,SRD
India Nippon Electricals Ltd,INEL
Saint-Gobain Sekurit India Ltd,SAINT
Jai Balaji Industries Ltd,JAIB
Balmer Lawrie Investments Ltd,BLI
BEML Land Assets Ltd,BLAL
Navkar Corporation Ltd,NAVR
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHL
Hexa Tradex Ltd,HEXA
Sutlej Textiles and Industries Ltd,SUTI
Himatsingka Seide Ltd,HMSD
Renaissance Global Ltd,RENA
Nitta Gelatin India Ltd,KERA
Aurionpro Solutions Ltd,APSL
National Peroxide Ltd,NATPE
Shakti Pumps India Ltd,SHPU
Bliss GVS Pharma Ltd,BLIS
Beekay Steel Industries Ltd,BEEK
Dhunseri Ventures Ltd,DHUN
Manaksia Ltd,MANK
Varanium Cloud Ltd,CLO
SMC Global Securities Ltd,SMC
Balu Forge Industries Ltd,AMAZ
Lincoln Pharmaceuticals Ltd,LINP
Avantel Ltd,AVA
Mangalam Cement Ltd,MGLC
Forbes & Company Ltd,FORB
Ramco Systems Ltd,RMCS
Rushil Decor Ltd,RUSH
63 Moons Technologies Ltd,63MO
Orient Bell Ltd,ORBL
Kalyani Investment Company Ltd,KALA
Indraprastha Medical Corporation Ltd,IMCL
Mold-Tek Technologies Ltd,MOLD
Heubach Colorants India Ltd,CLAC
Centrum Capital Ltd,CENC
Wardwizard Foods and Beverages Ltd,VEG
Tamilnadu Petroproducts Ltd,TPL
Mishtann Foods Ltd,MISHT
Beta Drugs Ltd,BTAD
John Cockerill India Ltd,FLA
Sigachi Industries Ltd,SIGA
Sastasundar Ventures Ltd,SAST
S Chand and Company Ltd,SCHA
Kokuyo Camlin Ltd,KOCL
Kopran Ltd,KPRN
Texmaco Infrastructure & Holdings Ltd,TEXM
Onward Technologies Ltd,OTEC
Panacea Biotec Ltd,PNCA
Onmobile Global Ltd,ONMO
Paramount Communications Ltd,PCML
Khaitan Chemicals and Fertilizers Ltd,KHA
Dharamsi Morarji Chemical Co Ltd,DHARA
Spectrum Electrical Industries Ltd,SPET
Shilchar Technologies Ltd,SHIL
TVS Electronics Ltd,TVEL
Antony Waste Handling Cell Ltd,AWH
Refex Industries Ltd,REFE
Rachana Infrastructure Ltd,RIL
Quick Heal Technologies Ltd,QUIC
Ksolves India Ltd,KSOL
Rane (Madras) Ltd,RAMD
Zota Health Care Ltd,ZOTA
Emami Paper Mills Ltd,EMAP
Black Rose Industries Ltd,BLAC
Binny Ltd,BINNY
Foods and Inns Ltd,FOO
Oriental Carbon & Chemicals Ltd,ORCR
HLV Ltd,HLVL
HP Adhesives Ltd,HPA
D P Abhushan Ltd,DPAB
SMS Pharmaceuticals Ltd,SMSP
Tuticorin Alkali Chemicals and Fertilizers Ltd,TUT
BMW Industries Ltd,BMW
Monarch Networth Capital Ltd,MONA
Allsec Technologies Ltd,ALLS
Sandesh Ltd,SNDH
Medico Remedies Ltd,MED
Visaka Industries Ltd,VSKI
Gloster Ltd,GLO
Cheviot Co Ltd,CHEV
Coffee Day Enterprises Ltd,CODE
LIC MF ETF-Sensex,LICM
Tracxn Technologies Ltd,TRAC
Nahar Poly Films Ltd,NAHR
Kirloskar Electric Company Ltd,KREL
Jet Airways (India) Ltd,JET
Shreyas Shipping and Logistics Ltd,SRSH
Nagarjuna Fertilizers and Chemicals Ltd,NGFR
Tourism Finance Corporation of India Ltd,TFCI
Orient Green Power Company Ltd,ORIN
Indian Hume Pipe Company Ltd,IHME
Associated Alcohols & Breweries Ltd,ASAL
Summit Securities Ltd,SUMM
Vascon Engineers Ltd,VASC
Xchanging Solutions Ltd,XCHA
Jay Bharat Maruti Ltd,JYBM
Elin Electronics Ltd,ELIN
Bharat Agri Fert & Realty Ltd,BHARG
Apollo Micro Systems Ltd,APLL
UTI Gold Exchange Traded Fund,UTGF
Yuken India Ltd,YUK
Davangere Sugar Company Ltd,DAV
Kamdhenu Ventures Ltd,KAMO
Nikhil Adhesives Ltd,NIKH
Sat Industries Ltd,SATI
Gandhi Special Tubes Ltd,GDTB
Mac Charles (India) Ltd,MCC
Hercules Hoists Ltd,HERC
Asian Granito India Ltd,ASGI
Deccan Cements Ltd,DCNC
Indo Amines Ltd,INDOM
Sukhjit Starch and Chemicals Ltd,SUK
Jubilant Industries Ltd,JUBL
AGS Transact Technologies Ltd,AGS
Trucap Finance Ltd,DHA
Goyal Aluminiums Ltd,ADV
Apex Frozen Foods Ltd,APEX
Ruby Mills Ltd,RUBY
CWD Ltd,CWD
Entertainment Network (India) Ltd,ENIL
APM Finvest Ltd,APM
V L S Finance Ltd,VLSF
Dcm Shriram Industries Ltd,DCM
Ravindra Energy Ltd,RELT
ShreeOswal Seeds and Chemicals Ltd,SHSE
UTI-Nifty Next 50 Exchange Traded Fund,UTII
Marine Electricals (India) Ltd,MARN
Harita Seating Systems Ltd,HASS
Sayaji Hotels Ltd,SAY
Talbros Automotive Components Ltd,TALB
EFC (1) Ltd,AMAN
Servotech Power Systems Ltd,SERO
Rajapalayam Mills Ltd,RAJPL
Cool Caps Industries Ltd,COO
Menon Bearings Ltd,MENO
Capital India Finance Ltd,CIF
Innovana Thinklabs Ltd,INTB
TAAL Enterprises Ltd,TAA
Dharmaj Crop Guard Ltd,DHARM
HPL Electric & Power Ltd,HPLE
Eldeco Housing and Industries Ltd,ELD
Iris Clothings Ltd,IRIC
Snowman Logistics Ltd,SNOW
Syncom Formulations (India) Ltd,SYN
Sel Manufacturing Company Ltd,SELM
Aurum Proptech Ltd,MAJC
Empyrean Cashews Ltd,KRISI
Bhageria Industries Ltd,BHAE
Mkventures Capital Ltd,IKA
Kellton Tech Solutions Ltd,KELL
K&R Rail Engineering Ltd,KRR
Donear Industries Ltd,DONE
GFL Ltd,GFLL
Oswal Greentech Ltd,OSGL
Zuari Agro Chemicals Ltd,ZUAR
D P Wires Ltd,DPWI
Deccan Gold Mines Ltd,DECN
Swelect Energy Systems Ltd,SWEL
AGI Infra Ltd,AGI
Rane Brake Linings Ltd,RABL
3i Infotech Ltd,TIIN
KSE Ltd,KSE
Man Industries India Ltd,MIND
De Nora India Ltd,DENO
Banswara Syntex Ltd,BANS
Sheetal Cool Products Ltd,SCP
Andhra Petrochemicals Ltd,AND
Zee Media Corporation Ltd,ZEEN
Dr Agarwal's Eye Hospital Ltd,DRAG
IST Ltd,ISTL
Integra Engineering India Ltd,INTEE
Jindal Poly Investment and Finance Company Ltd,JINL
Remedium Lifecare Ltd,ROX
Automotive Stampings and Assemblies Ltd,ASAS
Balaxi Pharmaceuticals Ltd,BALX
Bajaj Steel Industries Ltd,BAJAJ
Magadh Sugar & Energy Ltd,MGAD
Virtuoso Optoelectronics Ltd,VOE
Spencer's Retail Ltd,SPEN
Windlas Biotech Ltd,WINDL
Shree Pushkar Chemicals & Fertilisers Ltd,SPCH
Repro India Ltd,RPRO
Anjani Portland Cement Ltd,ANCM
Lords Chloro Alkali Ltd,MODIA
Nicco Parks & Resorts Ltd,NIC
Wim Plast Ltd,WIM
Ice Make Refrigeration Ltd,ICEM
Kanoria Chemicals and Industries Ltd,KNRC
Peninsula Land Ltd,PENL
Salzer Electronics Ltd,SALZ
Exxaro Tiles Ltd,EXX
Shri Jagdamba Polymers Ltd,SHRJ
Chemcrux Enterprises Ltd,CHE
Quint Digital Media Ltd,GML
Aarti Surfactants Ltd,AARU
Diamines and Chemicals Ltd,DIAMI
Mallcom (India) Ltd,MAL
Jayant Agro-Organics Ltd,JAAO
ZF Steering Gear (India) Ltd,ZFS
Morganite Crucible (India) Ltd,MORGA
Algoquant Fintech Ltd,HINDE
Creative Newtech Ltd,CREA
Blue Cloud Softech Solutions Ltd,BLUE
Automobile Corp Of Goa Ltd,AUTOC
Stovec Industries Ltd,STOV
Dynacons Systems and Solutions Ltd,DSSL
Singer India Ltd,SING
Aditya BSL Nifty ETF,ADIY
Muthoot Capital Services Ltd,MUTH
Benares Hotels Ltd,BENA
Nahar Capital and Financial Services Ltd,NAHA
Nahar Industrial Enterprises Ltd,NHIE
MMP Industries Ltd,MMPI
B&B Triplewall Containers Ltd,BBTR
Nupur Recyclers Ltd,NRL
State Trading Corporation of India Ltd,STCI
Hi-Tech Gears Ltd,HTGR
Music Broadcast Ltd,MUSI
IFB Agro Industries Ltd,IFBA
United Drilling Tools Ltd,UNID
Voith Paper Fabrics India Ltd,PORR
Baroda Rayon Corporation Ltd,BAROD
Starlineps Enterprises Ltd,STA
Crest Ventures Ltd,CRSV
Allied Digital Services Ltd,ADIS
Natural Capsules Ltd,NATC
Standard Capital Markets Ltd,STANC
ASM Technologies Ltd,ASM
Jagatjit Industries Ltd,JAGAJ
Digispice Technologies Ltd,DIGS
Ritco Logistics Ltd,RITC
Universus Photo Imagings Ltd,UNIH
Jyoti Structures Ltd,JYTS
CSL Finance Ltd,CSLF
Piccadily Agro Industries Ltd,PICC
Tribhovandas Bhimji Zaveri Ltd,TBZL
SBC Exports Ltd,SBC
Vikas Lifecare Ltd,VIKM
Goa Carbon Ltd,GOAC
Urja Global Ltd,URJA
Toyam Industries Ltd,TOY
Northern Spirits Ltd,NSL
Artemis Electricals and Projects Ltd,ART
Sreeleathers Ltd,SREE
N R Agarwal Industries Ltd,NRAI
Anuh Pharma Ltd,ANUH
PTL Enterprises Ltd,PTLE
Amines and Plasticizers Ltd,AMN
Silver Touch Technologies Ltd,SILT
Upsurge Seeds Of Agriculture Ltd,USA
Premier Explosives Ltd,PRMR
HCL Infosystems Ltd,HCLI
Plastiblends India Ltd,PLST
Supershakti Metaliks Ltd,SUP
Sera Investments & Finance India Ltd,KAPA
Kotyark Industries Ltd,KOTY
Empire Industries Ltd,EMPI
Xtglobal Infotech Ltd,XTG
NIBE Ltd,NIB
PREVEST DENPRO LTD,PREV
Hindustan Composites Ltd,HFRD
Sunshield Chemicals Ltd,SUNSH
Balaji Telefilms Ltd,BLTE
Kamat Hotels (India) Ltd,KAMT
Axtel Industries Ltd,AXT
Revathi Equipment Ltd,REVA
Faze Three Ltd,FAZE
Kernex Microsystems (India) Ltd,KMIL
Dhanlaxmi Bank Ltd,DNBK
KP ENERGY Ltd,KPE
Arihant Capital Markets Ltd,ARIH
Mangalam Organics Ltd,MANOR
Vardhman Acrylics Ltd,VARD
Munjal Auto Industries Ltd,MUAU
HPC Biosciences Ltd,HPC
SAR Auto Products Ltd,SAP
Tiger Logistics (India) Ltd,TIG
Om Infra Ltd,OMET
Fourth Dimension Solutions Ltd,FOUT
Fermenta Biotech Ltd,FERM
Khadim India Ltd,KHAD
Yash Pakka Limited,YASHP
Ponni Sugars (Erode) Ltd,PONS
Suryalata Spinning Mills Ltd,SURYL
Liberty Shoes Ltd,LIBS
Sakar Healthcare Ltd,SAKA
Goodricke Group Ltd,GOOD
Jeena Sikho Lifecare Ltd,JSLL
Ascom Leasing & Investments Ltd,ASCM
Mafatlal Industries Ltd,MAFA
A-1 Acid Ltd,AAL
Career Point Ltd,CARP
Fredun Pharmaceuticals Ltd,FRE
Kaya Ltd,KAYA
Haldyn Glass Ltd,HALD
Oswal Agro Mills Ltd,OWAG
Investment Trust of India Ltd,TNVE
Dynamic Cables Ltd,DYN
GRP Ltd,GRPI
IND Swift Laboratories Ltd,ISLB
Annapurna Swadisht Ltd,ANNA
Birla Cable Ltd,BRLE
Max India Ltd,MAII
Nectar Lifesciences Ltd,NECT
Moneyboxx Finance Ltd,MON
GVK Power & Infrastructure Ltd,GVKP
Kiran Vyapar Ltd,KIR
Network People Services Technologies Ltd,NPS
Kriti Industries (India) Limited,KRITI
Selan Exploration Technology Ltd,SELA
Chemfab Alkalis Ltd,CHMF
NINtec Systems Ltd,NIN
Pudumjee Paper Products Ltd,PUDJ
Orbit Exports Ltd,ORBE
HT Media Ltd,HTML
Kwality Pharmaceuticals Ltd,KPL
Advani Hotels and Resorts (India) Ltd,ADHO
Raghuvir Synthetics Ltd,RAGHU
Veritas (India) Ltd,VER
Zim Laboratories Ltd,ZIM
Saurashtra Cement Ltd,SAUR
Suyog Telematics Ltd,SUY
BGR Energy Systems Ltd,BGRE
SKM Egg Products Export India Ltd,SKME
NXTDIGITAL Ltd,NXTD
VIP Clothing Ltd,VIPC
Reliance Communications Ltd,RLCM
Munjal Showa Ltd,MNJL
Dhunseri Investments Ltd,DHUS
Dynemic Products Ltd,DYPR
DIC India Ltd,DICI
Kothari Petrochemicals Ltd,KPOC
Pondy Oxides and Chemicals Ltd,PON
Rubfila International Ltd,RUBF
Prozone Intu Properties Ltd,PROZ
International Conveyors Ltd,INTL
Arrow Greentech Ltd,ARRO
Shyam Century Ferrous Ltd,SHYC
Nippon India ETF Nifty Midcap 150,NTFM
Rama Phosphates Ltd,RAMAH
Zuari Global Ltd,ZURI
Radhika Jeweltech Ltd,RAD
Mawana Sugars Ltd,MAWS
South West Pinnacle Exploration Ltd,SWPI
Star Housing Finance Ltd,ASHF
Vishal Fabrics Ltd,VIFA
Euro India Fresh Foods Ltd,EURN
Cupid Ltd,CUCO
Galaxy Bearings Ltd,GALXB
Indo Borax and Chemicals Ltd,INDOB
Prakash Pipes Ltd,PRAS
Chembond Chemicals Ltd,CHEM
Shree Ganesh Remedies Ltd,SGR
Asian Energy Services Ltd,ASIAO
Prime Securities Ltd,PRME
Delphi World Money Ltd,EBIW
Rana Sugars Ltd,RNSG
Tinna Rubber and Infrastructure Ltd,TINN
Sahyadri Industries Ltd,SAH
NBI Industrial Finance Company Ltd,NBII
Hind Rectifiers Ltd,HRCT
ADC India Communications Ltd,KRO
Kilburn Engineering Ltd,KILBU
FCS Software Solutions Ltd,FCSS
Genus Paper & Boards Ltd,GEUS
Mercury Metals Ltd,MERM
NDR Auto Components Ltd,NDRA
Deep Energy Resources Ltd,DEIN
Aym Syntex Ltd,AYMS
Aditya BSL Gold ETF,AITY
Unitech Ltd,UNTE
