Name,Tag
General Insurance Corporation of India,GENA
Voltas Ltd,VOLT
CRISIL Ltd,CRSL
Torrent Power Ltd,TOPO
Syngene International Ltd,SYNN
PB Fintech Ltd,POLI
Sundaram Finance Ltd,SNFN
3M India Ltd,TMIN
AIA Engineering Ltd,AIAE
Deepak Nitrite Ltd,DPNT
Thermax Limited,THMX
Phoenix Mills Ltd,PHOE
Central Bank of India Ltd,CBI
Escorts Ltd,ESCO
KPIT Technologies Ltd,KPIE
Coforge Ltd,COFO
Poonawalla Fincorp Ltd,MAGM
Tata Chemicals Ltd,TTCH
Metro Brands Ltd,METR
Navin Fluorine International Ltd,NAFL
Motherson Sumi Wiring India Ltd,MSU
Jindal Stainless Ltd,JIST
CPSE ETF,GOMS
Punjab & Sind Bank,PUNA
J K Cement Ltd,JKCE
L&T Finance Holdings Ltd,LTFH
Gland Pharma Ltd,GLAN
Timken India Ltd,TIMK
Fertilisers And Chemicals Travancore Ltd,FCTL
Apollo Tyres Limited,APLO
Rail Vikas Nigam Ltd,RAIV
Sundram Fasteners Ltd,SNFS
Max Financial Services Ltd,MAXI
GlaxoSmithKline Pharmaceuticals Ltd,GLAX
Relaxo Footwears Ltd,RLXO
Grindwell Norton Ltd,GRNN
KPR Mill Ltd,KPRM
Aditya Birla Fashion and Retail Ltd,ADIA
Atul Ltd,ATLP
SKF India Ltd,SKFB
Kansai Nerolac Paints Ltd,KANE
Vinati Organics Ltd,VNTI
Sumitomo Chemical India Ltd,SUMH
Mindspace Business Parks REIT,MINS
Carborundum Universal Ltd,CRBR
Aarti Industries Ltd,ARTI
Bank of Maharashtra Ltd,BMBK
Prestige Estates Projects Ltd,PREG
ZF Commercial Vehicle Control Systems India Ltd,WABC
Devyani International Ltd,DEVY
Fortis Healthcare Ltd,FOHE
Endurance Technologies Ltd (CN),ENDU
Bata India Ltd,BATA
Hatsun Agro Product Ltd,HAPL
LIC Housing Finance Ltd,LICH
IIFL Finance Ltd,IIFL
Bayer Cropscience Ltd,BAYE
Bharat Dynamics Ltd,BARA
Zee Entertainment Enterprises Ltd,ZEE
IPCA Laboratories Ltd,IPCA
Kajaria Ceramics Ltd,KAJR
New India Assurance Company Ltd,THEE
Ramco Cements Ltd,TRCE
Pfizer Ltd,PFIZ
Dixon Technologies (India) Ltd,DIXO
KEI Industries Ltd,KEIN
Piramal Enterprises Ltd,PIRA
Sun Tv Network Ltd,SUTV
Whirlpool of India Ltd,WHIR
Crompton Greaves Consumer Electricals Ltd,CROP
Rajesh Exports Ltd,REXP
Exide Industries Ltd,EXID
J B Chemicals and Pharmaceuticals Ltd,JBCH
IRB Infrastructure Developers Ltd,IRBI
Ajanta Pharma Ltd,AJPH
Emami Ltd,EMAM
Indiamart Intermesh Ltd,INMR
Dr. Lal PathLabs Ltd,DLPA
Gujarat State Petronet Ltd,GSPT
Laurus Labs Ltd,LAUL
Trident Ltd,TRIE
Glenmark Pharmaceuticals Ltd,GLEN
UTI-Sensex Exchange Traded Fund,UTIS
CreditAccess Grameen Ltd,CRDE
Mahindra CIE Automotive Ltd,MAHN
Narayana Hrudayalaya Ltd,NARY
Radico Khaitan Ltd,RADC
Ratnamani Metals and Tubes Ltd,RMT
National Aluminium Co Ltd,NALU
Five-Star Business Finance Ltd,FIVES
Mazagon Dock Shipbuilders Ltd,MAZ
Godrej Industries Ltd,GODI
Clean Science and Technology Ltd,CLE
Elgi Equipments Ltd,ELGE
360 One Wam Ltd,IIFW
Nippon Life India Asset Management Ltd,NIPF
PVR Ltd,PVRL
Gillette India Ltd,GILE
Lloyds Metals And Energy Ltd,LLO
Blue Dart Express Ltd,BLDT
SJVN Ltd,SJVN
ICICI Securities Ltd,ICCI
Blue Star Ltd,BLUS
Hitachi Energy India Ltd,ABBW
Aegis Logistics Ltd,AEGS
Sanofi India Ltd,SANO
Global Health Ltd,MEDA
IDFC Ltd,IDFC
Indian Energy Exchange Ltd,IIAN
Capri Global Capital Ltd,CAPG
Finolex Cables Ltd,FNXC
Fine Organic Industries Ltd,FINO
RHI Magnesita India Ltd,ORRE
Redington (India) Ltd,REDI
Cyient Ltd,CYIE
DCM Shriram Ltd,DCMS
Bajaj Electricals Ltd,BJEL
Affle (India) Ltd,AFFL
Aster DM Healthcare Ltd,ATRD
Anupam Rasayan India Ltd,ANUR
Suven Pharmaceuticals Ltd,SUVH
Aptus Value Housing Finance India Ltd,APTU
Alkyl Amines Chemicals Ltd,ALKY
Nuvoco Vistas Corporation Ltd,NUV
Chambal Fertilisers and Chemicals Ltd,CHMB
KEC International Ltd,KECL
KIOCL Ltd,KIOC
Tata Teleservices (Maharashtra) Ltd,TTML
Krishna Institute of Medical Sciences Ltd,KIMS
Castrol India Ltd,CAST
Sonata Software Ltd,SOFT
Aether Industries Ltd,AET
Triveni Turbine Ltd,TRVT
PNB Housing Finance Ltd,PNBH
Happiest Minds Technologies Ltd,HAPP
Westlife Development Ltd,WEST
Brigade Enterprises Ltd,BRIG
POWERGRID Infrastructure Investment Trust,PGIN
Asahi India Glass Ltd,AISG
Century Plyboards (India) Ltd,CNTP
Raymond Ltd,RYMD
Lakshmi Machine Works Ltd,LKMC
NLC India Ltd,NLCI
Aavas Financiers Ltd,AVAS
V Guard Industries Ltd,VGUA
Cholamandalam Financial Holdings Ltd,CHOL
Tata Investment Corporation Ltd,TINV
NMDC Steel Ltd,NSLN
Campus Activewear Ltd,CAMP
Alembic Pharmaceuticals Ltd,ALEM
Manappuram Finance Ltd,MNFL
Bharat 22 ETF,ICPR
EIH Ltd,EIHO
Mangalore Refinery and Petrochemicals Ltd,MRPL
Nippon India ETF Bank BeES,BBES
Tejas Networks Ltd,TEJS
Apar Industries Ltd,APAR
Kalyan Jewellers India Ltd,KALYA
Central Depository Services (India) Ltd,CENA
Akzo Nobel India Ltd,AKZO
Natco Pharma Ltd,NATP
City Union Bank Ltd,CTBK
National Standard (India) Ltd,NATI
Angel One Ltd,ANGE
Amara Raja Batteries Ltd,AMAR
BASF India Ltd,BASF
Finolex Industries Ltd,FINX
